plot,habtype,MajorHab,habitat_name,MajorHabName
28,7220,72,Kildevæld,Kær/Mose/Eng
488139,7230,72,Rigkær,Kær/Mose/Eng
490840,7230,72,Rigkær,Kær/Mose/Eng
491679,2130,21,Grå/grøn klit,Klit/Strand
492378,7110,71,Højmose,Kær/Mose/Eng
492398,7110,71,Højmose,Kær/Mose/Eng
532652,7140,71,Hængesæk,Kær/Mose/Eng
537456,6210,62,Kalkoverdrev,Græsland/Overdrev
555107,6200,62,NA,Græsland/Overdrev
555636,6410,64,Tidvis våd eng,Kær/Mose/Eng
558433,6200,62,NA,Græsland/Overdrev
675467,1330,13,Strandeng,Strandeng
684106,2190,21,Klitlavning,Klit/Strand
684108,2190,21,Klitlavning,Klit/Strand
684118,2190,21,Klitlavning,Klit/Strand
684122,2190,21,Klitlavning,Klit/Strand
684130,2190,21,Klitlavning,Klit/Strand
684340,2190,21,Klitlavning,Klit/Strand
487841,1330,13,Strandeng,Strandeng
487842,1330,13,Strandeng,Strandeng
487843,1330,13,Strandeng,Strandeng
487844,1330,13,Strandeng,Strandeng
487845,1330,13,Strandeng,Strandeng
487846,1330,13,Strandeng,Strandeng
487847,1330,13,Strandeng,Strandeng
487848,1330,13,Strandeng,Strandeng
487849,1330,13,Strandeng,Strandeng
487851,1330,13,Strandeng,Strandeng
487852,1330,13,Strandeng,Strandeng
487853,1330,13,Strandeng,Strandeng
487855,1330,13,Strandeng,Strandeng
487856,1330,13,Strandeng,Strandeng
487859,1330,13,Strandeng,Strandeng
487861,1330,13,Strandeng,Strandeng
487862,1330,13,Strandeng,Strandeng
487863,1330,13,Strandeng,Strandeng
487864,1330,13,Strandeng,Strandeng
487865,1330,13,Strandeng,Strandeng
487866,1330,13,Strandeng,Strandeng
487867,1330,13,Strandeng,Strandeng
487868,1330,13,Strandeng,Strandeng
487870,1330,13,Strandeng,Strandeng
487871,1330,13,Strandeng,Strandeng
487874,1330,13,Strandeng,Strandeng
487875,1330,13,Strandeng,Strandeng
487877,1300,13,NA,Strandeng
487878,1330,13,Strandeng,Strandeng
487880,1330,13,Strandeng,Strandeng
487881,1330,13,Strandeng,Strandeng
487882,1330,13,Strandeng,Strandeng
487883,1330,13,Strandeng,Strandeng
487884,1330,13,Strandeng,Strandeng
487885,1330,13,Strandeng,Strandeng
487886,1330,13,Strandeng,Strandeng
487887,1330,13,Strandeng,Strandeng
487889,1330,13,Strandeng,Strandeng
487890,1330,13,Strandeng,Strandeng
487891,1330,13,Strandeng,Strandeng
487893,1330,13,Strandeng,Strandeng
487894,1330,13,Strandeng,Strandeng
487895,1330,13,Strandeng,Strandeng
487896,1330,13,Strandeng,Strandeng
487897,1330,13,Strandeng,Strandeng
487898,1330,13,Strandeng,Strandeng
487899,1330,13,Strandeng,Strandeng
487901,1340,13,Indlandssalteng,Strandeng
487902,1340,13,Indlandssalteng,Strandeng
487903,6400,64,NA,Kær/Mose/Eng
487904,1340,13,Indlandssalteng,Strandeng
487905,1340,13,Indlandssalteng,Strandeng
487906,6410,64,Tidvis våd eng,Kær/Mose/Eng
487907,1300,13,NA,Strandeng
487908,1340,13,Indlandssalteng,Strandeng
487909,1340,13,Indlandssalteng,Strandeng
487910,6400,64,NA,Kær/Mose/Eng
487911,7200,72,NA,Kær/Mose/Eng
487912,1340,13,Indlandssalteng,Strandeng
487913,1340,13,Indlandssalteng,Strandeng
487914,6410,64,Tidvis våd eng,Kær/Mose/Eng
487915,1340,13,Indlandssalteng,Strandeng
487916,1340,13,Indlandssalteng,Strandeng
487917,1340,13,Indlandssalteng,Strandeng
487918,1340,13,Indlandssalteng,Strandeng
487919,1340,13,Indlandssalteng,Strandeng
487920,1300,13,NA,Strandeng
487921,1340,13,Indlandssalteng,Strandeng
487922,1340,13,Indlandssalteng,Strandeng
487923,1340,13,Indlandssalteng,Strandeng
487924,1340,13,Indlandssalteng,Strandeng
487925,1340,13,Indlandssalteng,Strandeng
487926,6410,64,Tidvis våd eng,Kær/Mose/Eng
487927,1300,13,NA,Strandeng
487928,6400,64,NA,Kær/Mose/Eng
487929,1340,13,Indlandssalteng,Strandeng
487930,1340,13,Indlandssalteng,Strandeng
