Art_Latin,Grouping,Habtype
Alchemilla vulgaris,,
Ammophila arenaria × Calamagrostis epigejos,,
Beta vulgaris subsp. maritima,,
Cladina sp.,Cladonia,2130
Cladonia,,2130
Cladonia floerkeana,Cladonia,2130
Cladonia portentosa,Cladonia,2130
"Cladonia sp., s.l.",Cladonia,2130
"Cladonia sp., s.s.",Cladonia,2130
Dactylorhiza incarnata subsp. incarnata,,
Dactylorhiza incarnata subsp. lobelii,,
Dactylorhiza maculata subsp. fuchsii,,
Dactylorhiza maculata subsp. maculata,,
Dactylorhiza majalis subsp. integrata,,
Dactylorhiza majalis subsp. majalis,,
Dactylorhiza majalis subsp. purpurella,,
Festuca rubra subsp. juncea,,
Geranium robertianum var. rubricaule,,
Lamiastrum galeobdolon subsp. argentatum,,
Lamiastrum galeobdolon subsp. galeobdolon,,
Larix ×marschlinsii,,
Malus toringo var. sargentii,,
Medicago sativa subsp. falcata,,
Mentha ×verticillata,,
Ononis spinosa subsp. hircina,,
Ononis spinosa subsp. procurrens,,
Ononis spinosa subsp. spinosa,,
Pilosella officinarum subsp. peleteriana,,
Poa pratensis subsp. angustifolia,,
Poa pratensis subsp. irrigata,,
Poa pratensis subsp. pratensis,,
Pyrola rotundifolia subsp. maritima,,
Rubus fruticosus,,
Salicornia europaea coll.,Salicornia europaea,
Salix ×ehrhartiana,,
Salix ×fragilis,,
Salix ×meyeriana,,
Salix ×smithiana,,
Scleranthus annuus subsp. annuus,,
Scleranthus annuus subsp. polycarpos,,
Spartina,,
Spartina ×townsendii,,
Sphagnopsida,Sphagnum,7110|7120|7140|91D0
Sphagnum,,7110|7120|7140|91D0
Sphagnum affine,Sphagnum,7110|7120|7140|91D0
Sphagnum angustifolium,Sphagnum,7110|7120|7140|91D0
Sphagnum auriculatum,Sphagnum,7110|7120|7140|91D0
Sphagnum balticum,Sphagnum,7110|7120|7140|91D0
Sphagnum capillifolium,Sphagnum,7110|7120|7140|91D0
Sphagnum centrale,Sphagnum,7110|7120|7140|91D0
Sphagnum compactum,Sphagnum,7110|7120|7140|91D0
Sphagnum contortum,Sphagnum,7110|7120|7140|91D0
Sphagnum cuspidatum,Sphagnum,7110|7120|7140|91D0
Sphagnum cuspidatum var. cuspidatum,Sphagnum,7110|7120|7140|91D0
Sphagnum cuspidatum var. viride,Sphagnum,7110|7120|7140|91D0
Sphagnum divinum,Sphagnum,7110|7120|7140|91D0
Sphagnum divinum/medium,Sphagnum,7110|7120|7140|91D0
Sphagnum fallax,Sphagnum,7110|7120|7140|91D0
Sphagnum fallax var. brevifolium,Sphagnum,7110|7120|7140|91D0
Sphagnum fimbriatum,Sphagnum,7110|7120|7140|91D0
Sphagnum flexuosum,Sphagnum,7110|7120|7140|91D0
Sphagnum fuscum,Sphagnum,7110|7120|7140|91D0
Sphagnum girgensohnii,Sphagnum,7110|7120|7140|91D0
Sphagnum inundatum,Sphagnum,7110|7120|7140|91D0
Sphagnum majus,Sphagnum,7110|7120|7140|91D0
Sphagnum medium,Sphagnum,7110|7120|7140|91D0
Sphagnum molle,Sphagnum,7110|7120|7140|91D0
Sphagnum obtusum,Sphagnum,7110|7120|7140|91D0
Sphagnum palustre,Sphagnum,7110|7120|7140|91D0
Sphagnum papillosum,Sphagnum,7110|7120|7140|91D0
Sphagnum riparium,Sphagnum,7110|7120|7140|91D0
Sphagnum rubellum,Sphagnum,7110|7120|7140|91D0
Sphagnum russowii,Sphagnum,7110|7120|7140|91D0
Sphagnum squarrosum,Sphagnum,7110|7120|7140|91D0
Sphagnum subnitens,Sphagnum,7110|7120|7140|91D0
Sphagnum tenellum,Sphagnum,7110|7120|7140|91D0
Sphagnum teres,Sphagnum,7110|7120|7140|91D0
Sphagnum warnstorfii,Sphagnum,7110|7120|7140|91D0
Taraxacum officinale,,
Viola tricolor subsp. curtisii,,
